Item,Quantity,Location,Notes
"Small grommet kit (1/4"")",1,drawer near left door,
Soil auger and sampler,,3rd low cabinet,
"Pyrex cookware, large",A bunch,"3rd high cabinet, back of room",
Blender,1,"5th low cabinet, back of room",
Hair dryer,1,5th low cabinet,
PVC cutter,1,5th low cabinet,
Bathroom scale (electric),2,5th low cabinet,
Bathroom scale (analog),1,5th low cabinet,
"Measuring cups, funnels, tubing",a lot,"1st set of drawers, back of room",
ATV type battery (12V),1,,
Radar gun,1,,
Inverter (400W),1,,
DC 12V motor,1,,
ATV type battery (12V),1,,
Radar gun,1,,
