Item,Quantity,Location,Notes
Cole Palmer UV Lamp (254nm and 365nm),1,Optics Lab,In darkbox
Gooseneck desk lamps,8,Optics Lab,
Spectrum tube mounts (Helium and Mercury tubes),4,Optics Lab,
Various lightbulbs,,Optics Lab,
Shop lights (mountable),11,Optics Lab,
High output tube lighting (SunBlaster),Multiple,Optics Lab,
Dark box,,Optics Lab,
Pasco Spectrophotometer,,Optics Lab,
Large red and blue alarm / indicator lights,,Optics Lab,
X-ray light box,1,Optics Lab,
Stop light,,Optics Lab,
Black light,2,Optics Lab,
Light housings,Various,Optics Lab,
ArmaLab 400V High voltage source,1,Optics Lab,
Sylvania Sun Gun movie light,1,Optics Lab,
250W Incandescent Red Heat Lamps,3,Optics Lab,
Red Light Therapy,1,Optics Lab,
"25W Party Lights (Red, Blue, Green)",Multiple,Optics Lab,
90W 130V Halogen Flood Par 38 White,2,Optics Lab,
Prism Set,1,Optics Lab,
"LED Plant Grow Light (no heat, red/blue)",3,Optics Lab,
Radio Shack mechanical Timer 24 hour cycle,2,Optics Lab,Older
Mechanical Timer 24 hour cycle,4,Optics Lab,
Double glass Convex lens (200mm focal length),2,Optics Lab,
Ceramic Infrared Heat Emitter,1,Optics Lab,
Yellow Laser (593nm); 10mW,1,Optics Lab,Jack's Desk
