Item,Quantity,Location,Notes
String,,East white cabinet,
Scale,,East white cabinet,
Coffee filters,,East white cabinet,
Hover soccer ball,,East white cabinet,
100 ft soft measuring tape,5,East white cabinet,
"Springs, balls",,East white cabinet,
"Go Motion detectors (usb, bluetooth)",8,East white cabinet,
Wireless smart cart,15,East white cabinet,
weights,,East white cabinet,
Solar car kits,,East white cabinet,
Car track accessories,,East white cabinet,
Pendulum clamps,,East white cabinet,
Centrifugal force kit,,East white cabinet,
Small fan ,5,East white cabinet,
Tape measures,3,East white cabinet,
Dynamics track adapter,8,East white cabinet,
Photogates (Vernier),12,East white cabinet,
Force plates (Vernier),3,East white cabinet,
Transverse Wave Demonstration,1,East white cabinet,
"Resistors, bolts, fuses, twist ties",,Northeast wall cabinets,to left of fume hood
"Protractors, rulers",,Northeast wall cabinets,
Inertial balances,,Northeast wall cabinets,
"Lenses, mirrors",,Northeast wall cabinets,
Ray optics demonstration,,Northeast wall cabinets,
Microwave oscillator,,Northeast wall cabinets,
Bainbridge E/M Apparatus,,Northeast wall cabinets,
Cathode Ray demonstration,,Northeast wall cabinets,
Millikan Apparatus,,Northeast wall cabinets,
Light sensors,,Northeast wall cabinets,
Measuring sticks,,Northeast wall cabinets,
Ray box lab,,Northeast wall cabinets,
The Way Things Work,11,Northeast wall cabinets,
Hand Spectroscopes,30,Northeast wall cabinets,
Blue / Red 3D Glasses,,Northeast wall cabinets,
Small lights,,Northeast wall cabinets,
Cloth,,Northeast wall cabinets,
"Lamps, flashlights",,Northeast wall cabinets,
"Lenses (concave), prisms",,Northeast wall cabinets,
Various light bulbs,,Northeast wall cabinets,
Color filters,,Northeast wall cabinets,
Fiber optics kit,,Northeast wall cabinets,
Hartl Optical Disc,,Northeast wall cabinets,
Project STAR Spectrometer,6,Northeast wall cabinets,
Spectrum Tube,2,Northeast wall cabinets,
"Neon, CO2, Water Spectrum tubes",,Northeast wall cabinets,
Coffee maker,,Under fume hood,
Whiteboards,,Southeast wall cabinets,
Electronics supplies,,Southeast wall cabinets,
Gyroscope,5,Southeast wall cabinets,
Yo Yo's,,Southeast wall cabinets,
Pulleys,,Southeast wall cabinets,
Tin cans,,Southeast wall cabinets,
Battery charger  (6 and 12 volt),,Southeast wall cabinets,
Manual fuel pump,,Southeast wall cabinets,
Glue,,Southeast wall cabinets,
Compound meter,,Southeast wall cabinets,
"Embroidery rings (14"" diameter)",6,Southeast wall cabinets,
Sittable spinning disc,,Southeast wall cabinets,
Duplo (large lego style blocks),One large bin,Southeast wall cabinets,
"Balls (ping pong, tennis, marbles)",,Southeast wall cabinets,
"Blades, scrapers, x-acto knives",,Southeast wall cabinets,
Multimeters,10,Southeast wall cabinets,
Hot glue guns,20,Southeast wall cabinets,
Tongue depressors,,Southeast wall cabinets,
Wood Craft sticks,,Southeast wall cabinets,
Legos,One bin,Southeast wall cabinets,
Clamps,5,Southeast wall cabinets,
Play-Doh,,Southeast wall cabinets,
"Rope, string, tygon tubing",,Southeast wall cabinets,
External speakers,,Southeast wall cabinets,
"Wind power kit (skewers, anemometer)",,Southeast wall cabinets,
Pennies,Jar,Southeast wall cabinets,
"Parachute Supplies (straws, dixie cups, tissue paper)",,Southeast wall cabinets,
Alpha rockets,36,Southeast wall cabinets,
Rocket engines,24,Southeast wall cabinets,
"Popsicle sticks, toothpicks, rubber bands, ",,Southeast wall cabinets,
"Wood, PVC pipe, cardboard tubes",,Ceiling Racks,
Metal stands (3'),8,Southwest wall cabinets,
Stand clamps,,Southwest wall cabinets,
Track rod clamps,,Southwest wall cabinets,
Balances (6kg x 0.1g),2,Southwest wall cabinets,
Miscellaneous electronics (lot of battery holders),,Southwest wall cabinets,
Wire (misc),Box,Southwest wall cabinets,
Small clamps,30,Southwest wall cabinets,
GoCars (and mini fans),5,Southwest wall cabinets,
Large weights,,Southwest wall cabinets,
Spray paint,,Southwest wall cabinets,
Large platform cars,,Southwest wall cabinets,
Toy cars,,Southwest wall cabinets,
Boxes of nails,3,Southwest wall cabinets,
Styrofoam holder (1' x 2'),,Southwest wall cabinets,
Electro / Magnetic Supplies,,Southwest wall cabinets,
Various weights (masses),,Northwest wall cabinets,
"Extension cords, power strips",,Northwest wall cabinets,
"5, 10, 20g mass and hanger",6,Northwest wall cabinets,
Speakers (taken apart),,Northwest wall cabinets,
Microphones,2,Northwest wall cabinets,
Vernier microphone,5,Northwest wall cabinets,
Tuning sticks,6,Northwest wall cabinets,
Bells,6,Northwest wall cabinets,
Vernier Sound level sensor,2,Northwest wall cabinets,
Noise cancelling headphones,6,Northwest wall cabinets,
Extech Sound Level Meter,1,Northwest wall cabinets,
Vernier Sound Level Meter Cable,4,Northwest wall cabinets,
Seiko Metronomes (digital),2,Northwest wall cabinets,
Quart paint cans (rolling),6,Northwest wall cabinets,
Magnaprobe,6,Northwest wall cabinets,
Springs (slinky),15,Northwest wall cabinets,
"Misc wave drivers, digital function generators",,Northwest wall cabinets,
Smaller wave springs,100s,Northwest wall cabinets,
Happy Birds ,7,Northwest wall cabinets,
Ball bearings,,Northwest wall cabinets,
Pennies,,Northwest wall cabinets,
Light bulbs,,Northwest wall cabinets,
Etekcity Infared Thermometer,1,Northwest wall cabinets,
Large rug samples (1' x 2'),,Northwest wall cabinets,
Compasses,2,Northwest White Cabinet,
6V Batteries,6,Northwest White Cabinet,
Miscellaneous batteries,,Northwest White Cabinet,
Wire cutters,,Northwest White Cabinet,
Wire,,Northwest White Cabinet,
Digital multimeters,,Northwest White Cabinet,
iLabs,4,Northwest White Cabinet,
Galvanometer,2,Northwest White Cabinet,
Electromagnetic supplies (general),,Northwest White Cabinet,
Hand generator,2,Northwest White Cabinet,
Fur samples,,Northwest White Cabinet,
"Wood blocks (3"" x 5"")",Box,Northwest White Cabinet,
Circuit kits,5,Northwest White Cabinet,
First aid,,North Teaching island,
Ziplocks,,North Teaching island,
Trash bags,,North Teaching island,
Dominos,2,North Teaching island,
Taboo,,North Teaching island,
"Power strips, extension cords",,North Teaching island,
Clothespins,,North Teaching island,
OES lanyards,,North Teaching island,
iMac / USB adapter,,North Teaching island,
30 meter measuring tape,,North Teaching island,
Handheld calculators,15,North Teaching island,
Tin foil,,North Teaching island,
Batteries,,North Teaching island,
Hex wrench set,,North Teaching island,
Playing cards,,North Teaching island,
"Stainless steel balls, carabiners",,East white cabinet,
Pasco Wave Driver II (Model WA-9753),,,Function generator to use with it is in the storage room
