Item,Quantity,Location,Notes
10 reusable click-style hot packs,,Ethan - MS,For use with cloud chamber
Cloud Chamber,1,Center East,Ethan Vedder is the contact on this.  He uses it annually in 8th grade
Stirling ULT-25 (Ultra Low Temperature Cooler),1,Center East,
"1.5"" Plastic Marine Hose",Box,North Wall,
15 L Cooler,1,Up High - West,
2' x 2' square of foam,,Center Shelf - West,
2' x 3' Glass,2,North Wall,
3 Gallon Water Container,,Center Shelf - West,
6.5 Gallon Water Container,1,Up High - West,
"90 degree cardboard (1.5"" x 1.5"")",20,East Wall,
Acoustic Panels (egg crates),4,North Wall,
"Air pump (large, powerful)",1,West Wall,
Air pump (old),,Center Shelf - West,
Air track gliders,,West Wall,
Allanson Luminous Tube Transformer,,Center Shelf - West,
Aluminum rods,20,East Wall,
Aquarium filters,,Center Shelf - East,
Aquarium heaters,5,Center Shelf - East,
Aquarium pumps,8,Center Shelf - West,In box on top shelf (some others in SRL)
"Aquarium Supplies (fish food, pH, algaefix, etc)",,East Wall,
"Assorted lights, lamps",,North Wall,
Assorted Mason jars,25,North Wall,
Assorted plastic bottles (250mL - 1 L),Large box,Center Shelf - West,
Astron Switching Power Supply,,Center Shelf - West,
Balloons,1000s,East Wall,
Bike helmets,2,West Wall,
Binder clips,40 unopened boxes,South Wall,
Bird Kymograph 1993 Model 70-060,,East Wall,
Black fabric,,Center Shelf - East,
Black felt,,Center Shelf - East,
Bricks,,East Wall,
Brita Filter Unit,1,,
Brita water filter,,North Wall,
Carolina Plant Light House Blue Box,2,East wall up high - very large,One on center shelf too
Cars and wheels,,Center Shelf - West,
Caster Wheels,8,West Wall,
Caulking gun,,Center Shelf - West,
Ceiling fan,,North Wall,
Celestron telescope (in box with all accessories),,Center Shelf - East,
Central Scientific Oscillator Amplifier,,Center Shelf - West,
Ceramic Light Bases,8,West Wall,Optics Lab
Check valves for fish air pump,,Center Shelf - East,
"Clear replacement glass 10"" x 12"" ",2,North Wall,
Clipboards,55,East Wall,
"Colored cellophane (silver, yellow, red, blue)",,Center Shelf - West,Optics Lab
Compressor / pump (blue),,Center Shelf - East,
Computer monitors,5,West Wall,
Cosmic Ray Detector,,Center Shelf - East,
DeWalt Portable Vacuum,,South Wall,
Discharge Tube Power Supply,,Center Shelf - West,
Domino Race Set (wood blocks),,Center Shelf - East,
Drosophilia Bottles,3 shoe boxes,Center Shelf - West,Biology Room
Drucker Centrifuge,,Center Shelf - West,
EcoZone System (inside blue box),1,Center Shelf - West,Also one in SRL
Electric leaf blower,,Center Shelf - East,
Electrical Tape,15 rolls,East Wall,Moved to Physics
