Item,Quantity,Location,Notes
Exacto Knife Cutting Board,,Prep Lab,
"Miscellaneous tools (saw, drills, spray paint, sandpaper)",,,
Plastic drop clothes,,Storage Room,
Rotary tool with bits,,,
Sandpaper,,,
"Titan tool set (sander, jigsaw, light, drill)",,,
Wood files,15,,
Wood Saw,,,
Drill,,,
Drill bits,,,
Glue,,,
"Tape, blue tape, duct tape",,,
Level,,,
Batteries,,,
Pliers,,,
Clamps,,,
Hex sets,,,
Tape measures,,,
Crescent wrenches,,,
Flathead screwdrivers,,,
Phillips screwdrivers,,,
Hacksaw,,,
Metal cutters / shears,,,
Wire strippers,,,
Putty knives,,,
"3"" Plane",,,
Hand drill,,,
Pipe wrench,,,
Square,,,
Miniature tool set,,,
Nails,,,
Hammers,,,
"Assorted screws, nuts, washers, bolts, hooks, ",,,
Rulers,,,
Silicone Sealant,,,
