Item,Quantity,Location,Notes
Orion Sky Quest XT12 Intelliscope (Dobsonian Reflector Telescope),1,Third Floor,
Hardin Optical Model DSH-10 Dobsonian Telescope,1,Third Floor,
Orion Sky Quest XT10 Dobsonian Reflector Telescope,1,Third Floor,
Smart whiteboards,3,Third Floor,
"Plexiglass chamber (8' x 12"" x 6"")? ",1,Third Floor,
Bean bags,5,Third Floor,
Cart (two level) - 6' x 2' x 3' on wheels,1,Third Floor,
"PVC pipe (1.5"" diameter)  12 ft",1,Third Floor,
Full sheet of particle board,1,Third Floor,
Foldable table (3' x 6'),1,Third Floor,
